sample_id	Individual_ID	Haplotype	is_primary_sample
HG002_HG002_1	HG002	1	TRUE
HG002_HG002_2	HG002	2	TRUE
HG002_PS01015_PacBio_HG002_1	HG002	1	FALSE
HG002_PS01015_PacBio_HG002_2	HG002	2	FALSE
HG00438_PS00991_ONT_HG00438_1	HG00438	1	TRUE
HG00438_PS00991_ONT_HG00438_2	HG00438	2	TRUE
HG00621_PS00992_ONT_HG00621_1	HG00621	1	TRUE
HG00621_PS00992_ONT_HG00621_2	HG00621	2	TRUE
HG00673_PS00993_ONT_HG00673_1	HG00673	1	TRUE
HG00673_PS00993_ONT_HG00673_2	HG00673	2	TRUE
HG00735_PS00994_ONT_HG00735_1	HG00735	1	TRUE
HG00735_PS00994_ONT_HG00735_2	HG00735	2	TRUE
HG00741_PS00995_ONT_HG00741_1	HG00741	1	TRUE
HG00741_PS00995_ONT_HG00741_2	HG00741	2	TRUE
HG01071_PS00996_ONT_HG01071_1	HG01071	1	TRUE
HG01071_PS00996_ONT_HG01071_2	HG01071	2	TRUE
HG01106_PS00997_ONT_HG01106_1	HG01106	1	TRUE
HG01106_PS00997_ONT_HG01106_2	HG01106	2	TRUE
HG01123_PS00971_PacBio_HG01123_1	HG01123	1	TRUE
HG01123_PS00971_PacBio_HG01123_2	HG01123	2	TRUE
HG01175_PS00998_ONT_HG01175_1	HG01175	1	TRUE
HG01175_PS00998_ONT_HG01175_2	HG01175	2	TRUE
HG01258_PS00972_PacBio_HG01258_1	HG01258	1	TRUE
HG01258_PS00972_PacBio_HG01258_2	HG01258	2	TRUE
HG01358_PS00973_PacBio_HG01358_1	HG01358	1	TRUE
HG01358_PS00973_PacBio_HG01358_2	HG01358	2	TRUE
HG01358_PS00999_ONT_HG01358_1	HG01358	1	FALSE
HG01358_PS00999_ONT_HG01358_2	HG01358	2	FALSE
HG01361_PS00974_PacBio_HG01361_1	HG01361	1	TRUE
HG01361_PS00974_PacBio_HG01361_2	HG01361	2	TRUE
HG01891_PS00975_PacBio_HG01891_1	HG01891	1	TRUE
HG01891_PS00975_PacBio_HG01891_2	HG01891	2	TRUE
HG01891_PS01000_ONT_HG01891_1	HG01891	1	FALSE
HG01891_PS01000_ONT_HG01891_2	HG01891	2	FALSE
HG01928_PS01001_ONT_HG01928_1	HG01928	1	TRUE
HG01928_PS01001_ONT_HG01928_2	HG01928	2	TRUE
HG01952_PS01002_ONT_HG01952_1	HG01952	1	TRUE
HG01952_PS01002_ONT_HG01952_2	HG01952	2	TRUE
HG01978_PS01003_ONT_HG01978_1	HG01978	1	TRUE
HG01978_PS01003_ONT_HG01978_2	HG01978	2	TRUE
HG02071_PS00976_PacBio_HG02071_1	HG02071	1	TRUE
HG02071_PS00976_PacBio_HG02071_2	HG02071	2	TRUE
HG02074_PS00977_PacBio_HG02074_1	HG02074	1	TRUE
